"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1931",,,"291",,"291","0","153","0","78","0",,,,,"12","0","158","0","74","0","84","0","6","0","-20","0,0210,",,,,,"1.51",",0,0916,","97","0,0701,",,,,,"31.53",",0",,,"44.1","0","52.5","0","35.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1932",,,"140",,"140","0","185","0","90","0",,,,,"14","0","169","0","85","0","77","0","0","0","-8","0,0220,",,,,,"1.23",",0,1029,","88","0,0831,+","7865",,"7865","0","33.59",",0",,,"41.6","0","49.7","0","33.6","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1933",,,"227",,"227","0","176","0","96","0",,,,,"30","0","179","0","92","0","93","0","3","0","-24","0,1229,",,,,,"1.01",",0,0529,","95","0,0731,","8662",,"8662","0","32.29",",0",,,"40.7","0","49.4","0","31.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1934",,,"107",,"107","0","193","0","91","0",,,,,"47","0","175","0","95","0","73","0","1","0","-37","0,0208,",,,,,"1.79",",0,1122,","90","0,0719,","9968",,"9968","0","32.80",",0",,,"38.6","0","47.5","0","29.8","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1935",,,"246",,"246","0","168","0","78","0",,,,,"32","0","171","0","89","0","69","0","2","0","-25","0,0123,",,,,,"1.58",",0,0616,","93","0,0705,","9355",,"9355","0","26.62",",0",,,"39.6","0","48.2","0","31.0","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1936",,,"192",,"192","0","181","0","74","0",,,,,"44","0","192","0","102","0","76","0","6","0","-17","0,0221,+",,,,,"1.04",",0,0822,","96","0,0712,+","9768",,"9768","0","29.34",",0",,,"38.4","0","47.0","0","29.8","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1937",,,"321",,"321","0","162","0","80","0",,,,,"17","0","165","0","99","0","85","0","2","0","-12","0,0225,",,,,,"1.27",",0,1128,","93","0,0707,","9134",,"9134","0","30.75",",0",,,"41.1","0","49.6","0","32.7","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1938",,,"177",,"177","0","180","0","84","0",,,,,"26","0","150","0","89","0","78","0","1","0","-16","0,0303,",,,,,"1.14",",0,0604,","90","0,0814,","9034",,"9034","0","33.98",",0",,,"41.7","0","49.9","0","33.6","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1939",,,"165",,"165","0","163","0","72","0",,,,,"36","0","185","0","99","0","80","0","2","0","-25","0,0125,",,,,,"1.76",",0,0611,","92","0,0707,","9037",,"9037","0","33.24",",0",,,"39.8","0","48.7","0","30.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1940",,,"160",,"160","0","154","0","69","0",,,,,"24","0","187","0","108","0","68","0","2","0","-23","0,0117,",,,,,"1.64",",0,0608,","90","0,0723,+","9402",,"9402","0","30.62",",0",,,"39.0","0","47.6","0","30.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1941",,,"197",,"197","0","146","0","86","0",,,,,"23","0","164","0","94","0","84","0","4","0","-15","0,0114,",,,,,"1.66",",0,0914,","92","0,0724,","9016",,"9016","0","37.24",",0",,,"41.4","0","50.5","0","32.2","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1942",,,"137",,"137","0","154","0","78","0",,,,,"26","0","178","0","95","0","87","0","2","0","-23","0,0110,",,,,,"1.93",",0,0606,","91","0,0718,","8737",,"8737","0","30.31",",0",,,"40.3","0","49.4","0","31.2","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1943",,,"145",,"145","0","166","0","71","0",,,,,"36","0","188","0","106","0","75","0","2","0","-25","0,0215,",,,,,"1.26",",0,0615,","92","0,0713,","9894",,"9894","0","31.61",",0",,,"38.3","0","47.3","0","29.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1944",,,"171",,"171","0","167","0","82","0",,,,,"23","0","178","0","102","0","90","0","4","0","-12","0,0218,",,,,,"2.06",",0,0811,","92","0,0627,","9138",,"9138","0","31.49",",0",,,"41.0","0","49.8","0","32.2","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1945",,,"150",,"150","0","164","0","80","0",,,,,"30","0","185","0","96","0","77","0","0","0","-20","0,0113,",,,,,"1.94",",0,0528,","89","0,0724,","9160",,"9160","0","29.98",",0",,,"39.4","0","48.6","0","30.2","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1946",,,"94",,"94","0","163","0","85","0",,,,,"23","0","172","0","86","0","81","0","0","0","-20","0,1230,",,,,,"1.74",",0,0524,","87","0,0807,+","9250",,"9250","0","30.83",",0",,,"40.7","0","50.1","0","31.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1947",,,"324",,"324","X","164","X","73","X",,,,,"17","X","184","X","103","X","92","X","8","X","-14","X,0206,+",,,,,"1.22",",X,0405,","98","X,0806,+","9438",,"9438","X","25.57",",X",,,"40.3","X","49.4","X","31.1","X",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1948",,,"184",,"184","0","151","0","69","0",,,"31","0","40","0","166","0","90","0","83","0","5","0","-28","0,0311,",,,"6.6",",0,1209,","1.31",",0,0628,","93","0,0827,","9190",,"9190","0","27.17",",0","91.9",",0","40.7","0","50.6","0","30.7","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1949",,,"201",,"201","0","161","0","87","0","130",,"38","0","11","0","181","0","89","0","91","0","2","0","-15","0,0129,","31",",0,0207,","9.8",",0,0119,","1.75",",0,0625,","90","0,0808,+","8497",,"8497","0","34.56",",0","126.3",",0","41.3","0","50.7","0","31.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1950",,,"51",,"51","0","184","0","95","0","152",,"46","0","39","0","189","0","105","0","69","0","0","0","-20","0,0220,","25",",0,0304,+","7.4",",0,0125,","0.97",",0,0125,","86","0,0608,","9647",,"9647","0","29.54",",0","135.6",",0","37.6","0","46.9","0","28.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1951",,,"51",,"51","0","156","0","89","0","127",,"35","0","29","0","175","0","92","0","68","0","0","0","-24","0,0209,","33",",0,0213,+","10.9",",0,0211,","1.55",",0,1018,","84","0,0726,","9226",,"9226","0","35.41",",0","109.5",",0","39.3","0","48.1","0","30.6","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1952",,,"137",,"137","0","150","0","79","0","122",,"27","0","12","0","171","0","83","0","84","0","0","0","-15","0,0129,","16",",0,0212,","5.2",",0,1128,","1.47",",0,0708,","88","0,0707,","9394",,"9394","0","29.18",",0","82.7",",0","41.4","0","50.2","0","32.6","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1953",,,"189",,"189","0","149","0","79","0","112",,"34","0","19","0","169","0","70","0","83","0","3","0","-17","0,1230,","31",",0,0307,","7.8",",0,0305,","1.48",",0,0530,","93","0,0901,","8664",,"8664","0","31.81",",0","102.0",",0","42.2","0","51.1","0","33.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1954",,,"68",,"68","0","153","0","72","0","127",,"21","0","21","0","182","0","89","0","69","0","0","0","-16","0,0117,+","21",",0,0210,+","4.0",",0,0114,","2.35",",0,0426,","85","0,0824,+","8860",,"8860","0","29.31",",0","60.5",",0","39.9","0","48.4","0","31.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1955",,,"378",,"378","0","170","0","82","0","138",,"42","0","24","0","168","0","115","0","103","0","8","0","-15","0,0127,","24",",0,0327,+","8.1",",0,0322,","2.23",",0,0715,","93","0,0818,","8785",,"8785","0","27.96",",0","111.2",",0","41.7","0","51.0","0","32.4","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1956",,,"54",,"54","0","164","0","74","0","143",,"32","0","18","0","196","0","106","0","64","0","1","0","-11","0,1230,+","30",",0,0313,+","8.6",",0,0128,","2.20",",0,0713,","90","0,0613,","9438",,"9438","0","34.22",",0","97.6",",0","39.1","0","47.7","0","30.4","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1957",,,"112",,"112","0","155","0","80","0","132",,"35","0","29","0","164","0","95","0","69","0","0","0","-22","0,0114,+","24",",0,0223,","7.6",",0,1228,","2.11",",0,0508,","88","0,0802,","9410",,"9410","0","33.57",",0","100.4",",0","40.0","0","49.1","0","30.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1958",,,"79",,"79","0","153","0","75","0","123",,"28","0","37","0","178","0","78","0","61","0","0","0","-21","0,0212,","31",",0,1219,","6.0",",0,1207,","1.25",",0,0705,","86","0,0802,","9018",,"9018","0","25.94",",0","82.4",",0","39.3","0","48.4","0","30.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1959",,,"276",,"276","0","157","0","72","0","147",,"24","0","36","0","188","0","105","0","92","0","0","0","-23","0,0220,","40",",0,0317,","8.8",",0,0315,","1.94",",0,0627,","89","0,0610,","9724",,"9724","0","37.15",",0","84.4",",0","39.6","0","48.4","0","30.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1960",,,"105",,"105","0","179","0","76","0","124",,"25","0","23","0","169","0","102","0","83","0","0","0","-12","0,1223,+","26",",0,0221,+","4.0",",0,0206,+","1.94",",0,0828,","89","0,0907,","9212",,"9212","0","33.15",",0","79.2",",0","40.1","0","48.7","0","31.5","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1961",,,"187",,"187","0","149","0","70","0","126",,"27","0","26","0","176","0","83","0","90","0","0","0","-18","0,0202,+","21",",0,0308,+","7.5",",0,1212,","2.37",",0,0622,","89","0,0629,","9246",,"9246","0","25.54",",0","79.8",",0","40.7","0","49.6","0","31.9","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1962",,,"91",,"91","0","165","0","76","0","124",,"41","0","39","0","170","0","85","0","81","0","0","0","-23","0,0201,","35",",0,0227,","5.0",",0,0213,","2.34",",0,0513,","89","0,0707,","9022",,"9022","0","26.00",",0","110.2",",0","39.6","0","48.5","0","30.8","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1963",,,"185",,"185","0","144","0","64","0","127",,"32","0","47","0","172","0","100","0","80","0","2","0","-24","0,0123,","31",",0,0204,","6.9",",0,1213,","1.09",",0,0911,","93","0,0701,","9698",,"9698","0","25.64",",0","103.4",",0","39.5","0","49.1","0","29.8","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1964",,,"158",,"158","0","181","0","85","0","147",,"43","0","26","0","175","0","94","0","67","0","0","0","-16","0,0112,","25",",0,0228,+","11.8",",0,0305,","1.35",",0,1128,","89","0,0629,","8709",,"8709","0","32.76",",0","157.3",",0","40.5","0","49.4","0","31.5","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1965",,,"44",,"44","0","182","0","98","0","153",,"44","0","28","0","183","0","88","0","61","0","0","0","-27","0,0114,","33",",0,0223,","7.8",",0,0212,+","1.80",",0,0721,","87","0,0814,","9553",,"9553","0","43.01",",0","146.7",",0","38.9","0","47.5","0","30.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1966",,,"191",,"191","0","185","0","94","0","118",,"35","0","27","0","185","0","88","0","83","0","3","0","-20","0,0218,","21",",0,0128,","9.2",",0,0127,","1.17",",0,0929,","94","0,0702,+","9272",,"9272","0","32.84",",0","105.6",",0","40.0","0","48.5","0","31.6","0",,,,,,,,,,,,,,,,,,,,
